Word,Meaning,"Sentence","SentencePinyin","SentenceTranslation"
能夠,Can/Be able to,"我能夠幫你。","Wǒ nénggòu bāng nǐ.","I can help you."
決定,Decide,"我已經決定了。","Wǒ yǐjīng juédìngle.","I have already decided."
學習,Learn,"孩子在學校學習。","Háizi zài xuéxiào xuéxí.","Children learn at school."
誰,Who,"你知道那是誰嗎？","Nǐ zhīdào nà shì shuí ma?","Do you know who that is?"
見,See/Meet,"我明天會見他。","Wǒ míngtiān huì jiàn tā.","I will see him tomorrow."
半,Half,"我只喝了半杯咖啡。","Wǒ zhǐ hēle bàn bēi kāfēi.","I only drank half a cup of coffee."
時代,Era/Time,"這首歌是80年代的。","Zhè shǒu gē shì 80 niándài de.","This song is from the 80s."
完成,Complete,"他完成了任務。","Tā wánchéngle rènwù.","He completed the task."
帶,Bring/Carry,"你可以帶我去超市嗎？","Nǐ kěyǐ dài wǒ qù chāoshì ma?","Can you take me to the supermarket?"
相當,Quite,"這部電影相當有趣。","Zhè bù diànyǐng xiāngdāng yǒuqù.","This movie is quite interesting."
同學,Classmate,"他是我的高中同學。","Tā shì wǒ de gāozhōng tóngxué.","He is my high school classmate."
件,Measure word for items,"我買了一件衣服。","Wǒ mǎile yī jiàn yīfú.","I bought a piece of clothing."
能力,Ability,"她有領導能力。","Tā yǒu lǐngdǎo nénglì.","She has leadership abilities."
別人,Others/Other people,"別人的意見也很重要。","Biérén de yìjiàn yě hěn zhòngyào.","Other people's opinions are also important."
生命,Life,"生命是寶貴的。","Shēngmìng shì bǎoguì de.","Life is precious."
場,Measure word for events,"這是一場音樂會。","Zhè shì yī chǎng yīnyuè huì.","This is a concert."
會議,Meeting,"我有一個重要的會議。","Wǒ yǒu yīgè zhòngyào de huìyì.","I have an important meeting."
容易,Easy,"這個問題很容易。","Zhège wèntí hěn róngyì.","This question is easy."
開發,Develop,"他們正在開發新產品。","Tāmen zhèngzài kāifā xīn chǎnpǐn.","They are developing a new product."
民眾,People/Citizens,"民眾對此表示擔憂。","Mínzhòng duì cǐ biǎoshì dānyōu.","The public expressed concerns about this."
事情,Thing/Issue,"我有些事情要告訴你。","Wǒ yǒuxiē shìqíng yào gàosù nǐ.","I have something to tell you."
書,Book,"這本書我已經讀完了。","Zhè běn shū wǒ yǐjīng dú wánle.","I have already finished reading this book."
事實,Fact,"事實勝於雄辯。","Shìshí shèng yú xióngbiàn.","Facts speak louder than words."
有關,Related,"這與你有關。","Zhè yǔ nǐ yǒuguān.","This is related to you."
自,Self,"自己照顧自己。","Zìjǐ zhàogu zìjǐ.","Take care of oneself."
組織,Organize/Organization,"他加入了一個新的組織。","Tā jiārùle yīgè xīn de zǔzhī.","He joined a new organization."
言,Say,"他言之有物。","Tā yán zhī yǒu wù.","He speaks with substance."
愛,Love,"我愛你。","Wǒ ài nǐ.","I love you."
建立,Establish,"他們建立了一家新公司。","Tāmen jiànlìle yījiā xīn gōngsī.","They established a new company."
相關,Relevant/Related,"所有相關信息都在這裡。","Suǒyǒu xiāngguān xìnxī dōu zài zhèlǐ.","All relevant information is here. "
均,Evenly,"大家工作量均分","Dàjiā gōngzuòliàng jūnfēn","Everyone's workload is divided evenly."
產生,Generate,"這個程式可以產生報表","Zhège chéngshì kěyǐ chǎnshēng bàobiǎo","This program can generate reports."
業者,Business operator,"許多業者參與這次展覽","Xǔduō yèzhě cānyù zhè cì zhǎnlǎn","Many business operators participated in this exhibition."
解決,Solve,"他幫我解決了問題","Tā bāng wǒ jiějuéle wèntí","He helped me solve the problem."
完全,Completely,"我完全明白你的意思","Wǒ wánquán míngbái nǐ de yìsi","I completely understand what you mean."
的話,If,"如果你同意的話","Rúguǒ nǐ tóngyì dehuà","If you agree."
接受,Accept,"我接受你的提議","Wǒ jiēshòu nǐ de tíyì","I accept your proposal."
知,Know,"我知道這件事","Wǒ zhīdào zhè jiàn shì","I know this matter."
約,Approximately,"大約五點到","Dàyuē wǔ diǎn dào","Arrive at approximately five o'clock."
一般,General,"這是一般的規定","Zhè shì yībān de guīdìng","This is a general regulation."
推動,Promote,"政府推動新政策","Zhèngfǔ tuīdòng xīn zhèngcè","The government promotes a new policy."
過程,Process,"製作過程很複雜","Zhìzuò guòchéng hěn fùzá","The production process is complicated."
管理,Manage,"他管理這家公司","Tā guǎnlǐ zhè jiā gōngsī","He manages this company."
功能,Function,"這個軟體有許多功能","Zhège ruǎntǐ yǒu xǔduō gōngnéng","This software has many functions."
手,Hand,"這是我的手","Zhè shì wǒ de shǒu","This is my hand."
打,Hit,"他打了我一巴掌","Tā dǎle wǒ yī bāzhang","He slapped me."
水,Water,"我需要喝水","Wǒ xūyào hē shuǐ","I need to drink water."
要求,Request,"他要求更高的薪水","Tā yāoqiú gèng gāo de xīnshuǐ","He requests a higher salary."
小朋友,Child,"小朋友在公園玩","Xiǎopéngyǒu zài gōngyuán wán","The child is playing in the park."
教授,Professor,"教授正在給課","Jiàoshòu zhèngzài gěi kè","The professor is giving a lecture."
難,Difficult,"這題很難","Zhè tí hěn nán","This question is difficult."
我國,Our country,"我國經濟持續成長","Wǒ guó jīngjì chíxù chéngzhǎng","Our country's economy continues to grow."
告訴,Tell,"他告訴我真相","Tā gàosù wǒ zhēnxiàng","He told me the truth."
內容,Content,"書的內容很有趣","Shū de nèiróng hěn yǒuqù","The content of the book is interesting."
結果,Result,"結果出乎我意料","Jiéguǒ chū hū wǒ yìliào","The result was beyond my expectation."
調查,Investigate/Survey,"警方正在調查此事","Jǐngfāng zhèngzài diàochá cǐshì","The police are investigating the matter."
家庭,Family,"我愛我的家庭","Wǒ ài wǒ de jiātíng","I love my family."
成立,Establish,"公司成立於1990年","Gōngsī chénglì yú 1990 nián","The company was established in 1990."
選擇,Choose,"我選擇這件衣服","Wǒ xuǎnzé zhè jiàn yīfú","I choose this piece of clothing."
經營,Operate/Manage,"他經營這家餐廳多年","Tā jīngyíng zhè jiā cāntīng duō nián","He has been operating this restaurant for many years."
然而,However,"我想去","然而我沒有時間","Wǒ xiǎng qù, rán'ér wǒ méiyǒu shíjiān,I want to go, however, I don't have the time."
父母,Parents,"我的父母都是老師","Wǒ de fùmǔ dōu shì lǎoshī","Both my parents are teachers."
寫,Write,"他正在寫信","Tā zhèngzài xiě xìn","He is writing a letter."
人類,Humanity,"人類的起源仍是謎","Rénlèi de qǐyuán réng shì mí","The origin of humanity remains a mystery."
至於,As for,"至於那件事","我不知道","Zhìyú nà jiàn shì, wǒ bù zhīdào,As for that matter, I don't know."
買,Buy,"我要買這本書","Wǒ yào mǎi zhè běn shū","I want to buy this book."
尤其,Especially,"我喜歡蔬菜","尤其是胡蘿蔔","Wǒ xǐhuān shūcài, yóuqí shì húluóbo,I like vegetables, especially carrots."
配合,Cooperate,"請與我配合","Qǐng yǔ wǒ pèihé","Please cooperate with me."
進入,Enter,"他進入了房間","Tā jìnrùle fángjiān","He entered the room."
例如,For example,"例如","這本書是紅色的","Lìrú, zhè běn shū shì hóngsè de,For example, this book is red."
得,Obtain/Must,"我得去學校","Wǒ dé qù xuéxiào","I must go to school."
討論,Discuss,"我們正在討論這個問題","Wǒmen zhèngzài tǎolùn zhège wèntí","We are discussing this issue."
依,According to,"依我之見","這是好的","Yī wǒ zhī jiàn, zhè shì hǎo de,In my opinion, this is good."
作品,Work (of art/literature),"這是他的最新作品","Zhè shì tā de zuìxīn zuòpǐn","This is his latest work."
情形,Situation,"目前的情形很糟","Mùqián de qíngxíng hěn zāo","The current situation is very bad."
資源,Resources,"我們需要更多的資源","Wǒmen xūyào gèng duō de zīyuán","We need more resources."
原因,Reason,"我不知道他的原因","Wǒ bù zhīdào tā de yuányīn","I don't know his reason."
啦,Particle indicating emphasis or change,"天氣變冷啦","Tiānqì biàn lěng la","The weather has become cold."
妳,You (female),"妳好嗎?","Nǎi hǎo ma?","How are you?"
運動,Sport/Exercise,"我喜歡做運動","Wǒ xǐhuān zuò yùndòng","I like to exercise."
觀念,Concept,"他的觀念很新穎","Tā de guānniàn hěn xīnyǐng","His concept is very novel."
軟體,Software,"我需要這個軟體","Wǒ xūyào zhège ruǎntǐ","I need this software."
品質,Quality,"這產品的品質很好","Zhè chǎnpǐn de pǐnzhì hěn hǎo","The quality of this product is very good."
經過,Pass by/Process,"我經過那家店","Wǒ jīngguò nà jiā diàn","I passed by that store."
如此,So,"他如此說","Tā rúcǐ shuō","He said so."
嗯,Um/Okay,"嗯","我知道","Ēn, wǒ zhīdào,Um, I know."
精神,Spirit/Energy,"他精神很好","Tā jīngshén hěn hǎo","He is in high spirits."
影響,Influence/Affect,"天氣影響了我們的計畫","Tiānqì yǐngxiǎngle wǒmen de jìhuà","The weather affected our plans."
之,Of/Possessive marker,"王之書","Wáng zhī shū","The book of Wang."
好像,Seems like/As if,"他好像生病了","Tā hǎoxiàng shēngbìng le","He seems to be sick."
成,Become,"他成為一名醫生","Tā chéngwéi yī míng yīshēng","He became a doctor."
參與,Participate,"我想參與這次活動","Wǒ xiǎng cānyù zhè cì huódòng","I want to participate in this event."
以後,Afterward/Later,"我以後會告訴你","Wǒ yǐhòu huì gàosù nǐ","I will tell you later."
於是,So/Then,"於是","他離開了","Yúshì, tā líkāi le,So, he left."
部分,Part,"這只是部分原因","Zhè zhǐshì bùfèn yuányīn","This is just part of the reason."
另外,Additionally/Moreover,"另外","我也喜歡藍色","Lìngwài, wǒ yě xǐhuān lán sè,Additionally, I also like blue."
公園,Park,"我們在公園散步","Wǒmen zài gōngyuán sànbù","We are taking a walk in the park."
透過,Through,"我透過窗戶看到他","Wǒ tòuguò chuānghù kàndào tā","I saw him through the window."
訓練,Train,"他在訓練跑步","Tā zài xùnliàn pǎobù","He is training for running."
努力,Work hard,"他努力學習","Tā nǔlì xuéxí","He studies hard."
具有,Have/Possess,"這本書具有獨特的風格","Zhè běn shū jùyǒu dútè de fēnggé","This book has a unique style."
共同,Common,"我們有共同的興趣","Wǒmen yǒu gòngtóng de xìngqù","We have common interests."
所謂,So-called,"所謂的專家不一定正確","Suǒwèi de zhuānjiā bù yīdìng zhèngquè","The so-called expert is not necessarily correct."
行為,Behavior,"他的行為很奇怪","Tā de xíngwéi hěn qíguài","His behavior is very strange."
合作,Cooperate,"我們需要合作","Wǒmen xūyào hézuò","We need to cooperate."
經,Through/After,"我經常運動","Wǒ jīngcháng yùndòng","I exercise regularly."
目標,Goal,"我的目標是成為一名醫生","Wǒ de mùbiāo shì chéngwéi yī míng yīshēng","My goal is to become a doctor."
起來,Seems/Rise,"這道題目難起來了","Zhè dào tímù nán qǐláile","This question seems difficult."
考慮,Consider,"我正在考慮這個提議","Wǒ zhèngzài kǎolǜ zhège tíyì","I am considering this proposal."
長,Long/Grow,"他的頭髮很長","Tā de tóufǎ hěn zhǎng","His hair is very long."
意見,Opinion,"你有什麼意見?","Nǐ yǒu shénme yìjiàn?","What is your opinion?"
辦法,Way/Method,"我沒有辦法解決這個問題","Wǒ méiyǒu bànfǎ jiějué zhège wèntí","I have no way to solve this problem."
音樂,Music,"我喜歡這首音樂","Wǒ xǐhuān zhè shǒu yīnyuè","I like this piece of music."
連,Even/Connect,"他連我都不認識","Tā lián wǒ dōu bù rènshí","He doesn't even know me."
受,Receive/Suffer,"他受到了很大的影響","Tā shòudàole hěn dà de yǐngxiǎng","He was greatly influenced."
廠商,Manufacturer,"這是一家知名的廠商","Zhè shì yī jiā zhīmíng de chǎngshāng","This is a well-known manufacturer."
隻,Measure word for animals,"這隻貓很可愛","Zhè zhī māo hěn kě'ài","This cat is very cute."
受到,Receive/Be affected by,"他受到了很多讚美","Tā shòudàole hěn duō zànměi","He received a lot of praise."
一切,Everything,"一切都在控制之中","Yīqiè dōu zài kòngzhì zhī zhōng","Everything is under control."
或是,Or,"你要咖啡或是茶?","Nǐ yào kāfēi huò shì chá?","Do you want coffee or tea?"
中央,Central,"這是中央政府的政策","Zhè shì zhōngyāng zhèngfǔ de zhèngcè","This is the policy of the central government."
某,Some/Certain,"某人告訴我這個消息","Mǒu rén gàosù wǒ zhège xiāoxī","Someone told me this news."
女性,Female,"女性應該享有平等權利","Nǚxìng yīnggāi xiǎngyǒu píngděng quánlì","Females should enjoy equal rights."
教學,teaching,"她在大學裡擔任教學工作。","Tā zài dàxué lǐ dānrèn jiāoxué gōngzuò.","She works in teaching at the university."
極,extreme,"這是一種極端的天氣。","Zhè shì yī zhǒng jíduān de tiānqì.","This is an extreme weather condition."
獲得,gain,"他獲得了這次比賽的冠軍。","Tā huòdéle zhè cì bǐsài de guànjūn.","He gained the championship of this competition."
真的,really,"你真的認為這是好主意嗎？","Nǐ zhēn de rènwéi zhè shì hǎo zhǔyì ma?","Do you really think this is a good idea?"
路,road,"這條路通往市中心。","Zhè tiáo lù tōngwǎng shì zhōngxīn.","This road leads to the city center."
快,fast,"他跑得很快。","Tā pǎo dé hěn kuài.","He runs fast."
國小,elementary school,"我女兒在這所國小上學。","Wǒ nǚ'ér zài zhè suǒ guóxiǎo shàng xué.","My daughter goes to this elementary school."
部份,part,"我只看了這部電影的一部份。","Wǒ zhǐ kànle zhè bù diànyǐng de yī bùfèn.","I've only watched part of this movie."
工程,engineering,"他在工程部門工作。","Tā zài gōngchéng bùmén gōngzuò.","He works in the engineering department."
女人,woman,"那位女人是我的母親。","Nà wèi nǚrén shì wǒ de mǔqīn.","That woman is my mother."
舉行,hold (an event),"學校舉行了一場音樂會。","Xuéxiào jǔxíngle yī chǎng yīnyuè huì.","The school held a concert."
句,sentence,"這句話說得很有道理。","Zhè jù huà shuō dé hěn yǒu dàolǐ.","This sentence makes a lot of sense."
只是,just,"我只是想問一下。","Wǒ zhǐshì xiǎng wèn yīxià.","I just want to ask."
段,segment,"這是故事的重要段落。","Zhè shì gùshì de zhòngyào duànluò.","This is an important segment of the story."
根據,according to,"根據報告，天氣將會變冷。","Gēnjù bàogào, tiānqì jiāng huì biàn lěng.","According to the report, the weather will get colder."
現象,phenomenon,"北極光是一種自然現象。","Běijí guāng shì yīzhǒng zìrán xiànxiàng.","The aurora borealis is a natural phenomenon."
人民,people,"我們的人民需要和平。","Wǒmen de rénmín xūyào hépíng.","Our people need peace."
土地,land,"這片土地非常肥沃。","Zhè piàn tǔdì fēicháng féiwò.","This land is very fertile."
面對,face,"我們必須面對這個問題。","Wǒmen bìxū miàn duì zhège wèntí.","We must face this problem."
注意,notice/pay attention,"請注意安全。","Qǐng zhùyì ānquán.","Please pay attention to safety."
這裡,here,"你可以在這裡坐。","Nǐ kěyǐ zài zhèlǐ zuò.","You can sit here."
新聞,news,"今天的新聞報道了一起交通事故。","Jīntiān de xīnwén bàodǎole yīqǐ jiāotōng shìgù.","Today's news reported a traffic accident."
繼續,continue,"他決定繼續學習法語。","Tā juédìng jìxù xuéxí fǎyǔ.","He decided to continue studying French."
相信,believe,"我相信你會成功的。","Wǒ xiāngxìn nǐ huì chénggōng de.","I believe you will succeed."
政策,policy,"這是我們公司的新政策。","Zhè shì wǒmen gōngsī de xīn zhèngcè.","This is our company's new policy."
變成,become,"她希望有天能變成一名作家。","Tā xīwàng yǒutiān néng biànchéng yī míng zuòjiā.","She hopes to become a writer one day."
計劃,plan,"他們正在計劃明年的假期。","Tāmen zhèngzài jìhuà míngnián de jiàqī.","They are planning their vacation for next year."
強調,emphasize,"教授強調了練習的重要性。","Jiàoshòu qiángdiào le liànxí de zhòngyàoxìng.","The professor emphasized the importance of practice."
學,study/learn,"他在圖書館學習。","Tā zài túshūguǎn xuéxí.","He studies in the library."
人士,person,"許多商業人士參加了這次會議。","Xǔduō shāngyè rénshì cānjiāle zhè cì huìyì.","Many business people attended the meeting."
前,before,"吃飯前，你應該洗手。","Chīfàn qián, nǐ yīnggāi xǐshǒu.","You should wash your hands before eating."
存在,exist,"這種珍稀動物仍然存在。","Zhè zhǒng zhēnxī dòngwù réngrán cúnzài.","This rare animal still exists."
制度,system,"我們需要改革教育制度。","Wǒmen xūyào gǎigé jiàoyù zhìdù.","We need to reform the education system."
意義,meaning,"這首歌的意義很深。","Zhè shǒu gē de yìyì hěn shēn.","This song has a deep meaning."
代表,represent,"他代表學校參加比賽。","Tā dàibiǎo xuéxiào cānjiā bǐsài.","He represents the school in the competition."
課程,course,"我下學期要選這個課程。","Wǒ xià xuéqī yào xuǎn zhège kèchéng.","I am going to take this course next semester."
需求,need,"市場上有這種商品的需求。","Shìchǎng shàng yǒu zhè zhǒng shāngpǐn de xūqiú.","There is a demand for this product in the market."
人生,life,"每個人都有自己的人生目標。","Měi gè rén dōu yǒu zìjǐ de rénshēng mùbiāo.","Everyone has their own life goals."
那些,those,"那些書都是我的。","Nàxiē shū dōu shì wǒ de.","Those books are all mine."
成功,success,"他的成功取決於他的努力。","Tā de chénggōng qǔjué yú tā de nǔlì.","His success depends on his effort."
爸爸,father,"我的爸爸是醫生。","Wǒ de bàba shì yīshēng.","My father is a doctor."
產業,industry,"他在科技產業工作。","Tā zài kējì chǎnyè gōngzuò.","He works in the tech industry."
負責,responsible,"他負責這個項目的管理。","Tā fùzé zhège xiàngmù de guǎnlǐ.","He is responsible for the management of this project."
民間,civilian,"這是一個民間的傳說。","Zhè shì yīgè mínjiān de chuánshuō.","This is a civilian legend."
雖,although,"雖然今天很冷，但我還是出去了。","Suīrán jīntiān hěn lěng, dàn wǒ háishì chūqùle.","Although it's cold today, I still went out."
直接,direct,"他直接向總裁提出了問題。","Tā zhíjiē xiàng zǒngcái tíchūle wèntí.","He directly raised the question to the CEO."
幾乎,almost,"我幾乎忘記了這件事。","Wǒ jīhū wàngjìle zhè jiàn shì.","I almost forgot about this."
分,divide/score,"這場比賽他得了90分。","Zhè chǎng bǐsài tā déle 90 fēn.","He scored 90 points in this game."
實際,actual,"這是我實際的經驗。","Zhè shì wǒ shíjì de jīngyàn.","This is my actual experience."
團體,group,"他是這個音樂團體的成員。","Tā shì zhège yīnyuè tuántǐ de chéngyuán.","He is a member of this music group."
價值,value,"這幅畫具有很高的價值。","Zhè fú huà jùyǒu hěn gāo de jiàzhí.","This painting has a high value."
使得,make,"他的努力使得這項目成功。","Tā de nǔlì shǐdé zhège xiàngmù chénggōng.","His efforts made the project successful."
類,type,"這是什麼類的動物？","Zhè shì shénme lèi de dòngwù?","What type of animal is this?"
形成,form,"風吹沙成了這樣的形狀。","Fēng chuī shā chéngle zhèyàng de xíngzhuàng.","The wind blew the sand to form this shape."
科技,technology,"我們的生活受到科技的影響。","Wǒmen de shēnghuó shòudào kējì de yǐngxiǎng.","Our lives are influenced by technology."
這麼,so,"你怎麼這麼晚回家？","Nǐ zěnme zhème wǎn huíjiā?","Why are you coming home so late?"
七,seven,"我有七本書。","Wǒ yǒu qī běn shū.","I have seven books."
不但,not only,"他不但會唱歌，還會跳舞。","Tā bùdàn huì chànggē, hái huì tiàowǔ.","He not only can sing but also can dance."
往,towards,"他往前走了幾步。","Tā wǎng qián zǒule jǐ bù.","He took a few steps forward."
本身, itself,"這本書本身就很有價值。","Zhè běnshū běnshēn jiù hěn yǒu jiàzhí.","The book itself is very valuable."
標準,standard,"這是我們公司的工作標準。","Zhè shì wǒmen gōngsī de gōngzuò biāozhǔn.","This is our company's work standard."
似乎,seems,"他似乎很高興。","Tā sìhū hěn gāoxìng.","He seems very happy."
應用,application,"這是一個非常實用的應用程式。","Zhè shì yīgè fēicháng shíyòng de yìngyòng chéngxì.","This is a very practical application."
或者,or,"你想喝咖啡或者茶？","Nǐ xiǎng hē kāfēi huòzhě chá?","Do you want to drink coffee or tea?"
動物,animal,"獅子是一種兇猛的動物。","Shīzi shì yī zhǒng xiōngměng de dòngwù.","A lion is a fierce animal."
電話,telephone,"你可以給我你的電話號碼嗎？","Nǐ kěyǐ gěi wǒ nǐ de diànhuà hàomǎ ma?","Can you give me your telephone number?"
態度,attitude,"他的態度很友善。","Tā de tàidu hěn yǒushàn.","His attitude is very friendly."
建設,construction,"這裡正在進行新的建設工程。","Zhèlǐ zhèngzài jìnxíng xīn de jiànshè gōngchéng.","There is a new construction project going on here."
事業,career,"她在醫學事業上取得了很大的成功。","Tā zài yīxué shìyè shàng qǔdéle hěn dà de chénggōng.","She achieved great success in her medical career."
老,old,"我的外婆很老了。","Wǒ de wàipó hěn lǎo le.","My grandmother is very old."
那麼,so,"他為什麼那麼晚回家？","Tā wèishéme nàme wǎn huíjiā?","Why is he coming home so late?"
常常,often,"我常常去圖書館。","Wǒ chángcháng qù túshūguǎn.","I often go to the library."
坐,sit,"請坐在這裡。","Qǐng zuò zài zhèlǐ.","Please sit here."
舉辦,hold (an event),"學校將舉辦一場音樂會。","Xuéxiào jiāng jǔbàn yī chǎng yīnyuè huì.","The school will hold a concert."
自我,self,"他很會自我管理。","Tā hěn huì zì wǒ guǎnlǐ.","He is good at self-management."
有的,some,"有的人喜歡吃辣，有的人不喜歡。","Yǒu de rén xǐhuān chī là, yǒu de rén bù xǐhuān.","Some people like spicy food, while others don't."
具,possess,"他具有很強的領導能力。","Tā jùyǒu hěn qiáng de lǐngdǎo nénglì.","He possesses strong leadership abilities."
目的,purpose,"我來這裡的目的是學習。","Wǒ lái zhèlǐ de mùdì shì xuéxí.","My purpose for coming here is to study."
塊,piece,"我有一塊巧克力。","Wǒ yǒu yī kuài qiǎokèlì.","I have a piece of chocolate."
條件,condition,"如果你達到這些條件，你可以參加。","Rúguǒ nǐ dádào zhèxiē tiáojiàn, nǐ kěyǐ cānjiā.","If you meet these conditions, you can participate."
即使,even if,"即使下雨，我也要去。","Jíshǐ xià yǔ, wǒ yě yào qù.","Even if it rains, I will go."
十分,very,"他十分擔心你。","Tā shífēn dānxīn nǐ.","He is very worried about you."
多少,how many/how much,"你知道這裡有多少人嗎？","Nǐ zhīdào zhèlǐ yǒu duōshǎo rén ma?","Do you know how many people are here?"
力量,strength/power,"他有驚人的力量。","Tā yǒu jīngrén de lìliàng.","He has amazing strength."
比如,such as,"我喜歡吃水果，比如蘋果和香蕉。","Wǒ xǐhuān chī shuǐguǒ, bǐrú píngguǒ hé xiāngjiāo.","I like to eat fruits, such as apples and bananas."
此外,in addition,"此外，我還想告訴你一件事。","Cǐwài, wǒ hái xiǎng gàosu nǐ yī jiàn shì.","In addition, I want to tell you one more thing."
錯,wrong,"你做錯了。","Nǐ zuò cuò le.","You did it wrong."
女,woman/female,"那個女孩子笑得很甜。","Nàgè nǚ háizi xiào dé hěn tián.","That girl has a sweet smile."
裝,install/put on,"他裝了一個新的應用程式。","Tā zhuāngle yīgè xīn de yìngyòng chéngxì.","He installed a new application."
玩,play,"孩子們在公園玩。","Háizimen zài gōngyuán wán.","The children are playing in the park."
南,south,"他住在南方。","Tā zhù zài nánfāng.","He lives in the south."
出去,go out,"我想出去走走。","Wǒ xiǎng chūqù zǒu zǒu.","I want to go out for a walk."
打開,open,"請幫我打開這扇窗。","Qǐng bāng wǒ dǎkāi zhè shàn chuāng.","Please help me open this window."
新鮮,fresh,"我喜歡吃新鮮的水果。","Wǒ xǐhuān chī xīnxiān de shuǐguǒ.","I like to eat fresh fruits."
美麗,beautiful,"這裡的景色真美麗。","Zhèlǐ de jǐngsè zhēn měilì.","The scenery here is really beautiful."
最後,finally/last,"最後，我選擇了這個。","Zuìhòu, wǒ xuǎnzéle zhège.","Finally, I chose this one."
提高,improve/raise,"我想提高我的中文水平。","Wǒ xiǎng tígāo wǒ de zhōngwén shuǐpíng.","I want to improve my Chinese level."
安全,safety/safe,"這裡很安全。","Zhèlǐ hěn ānquán.","This place is very safe."
餐廳,restaurant,"我們晚上在那家餐廳吃飯。","Wǒmen wǎnshang zài nà jiā cāntīng chīfàn.","We ate at that restaurant in the evening."
放,put,"請把書放在桌子上。","Qǐng bǎ shū fàng zài zhuōzi shàng.","Please put the book on the table."
開心,happy,"看到你我很開心。","Kàn dào nǐ wǒ hěn kāixīn.","I'm happy to see you."
收,collect/receive,"我收到了你的信。","Wǒ shōudào le nǐ de xìn.","I received your letter."
門,door,"門是開著的。","Mén shì kāi zhe de.","The door is open."
危險,dangerous,"這是一個危險的地方。","Zhè shì yīgè wēixiǎn de dìfāng.","This is a dangerous place."
夜晚,night,"夜晚的星空很美。","Yèwǎn de xīngkōng hěn měi.","The starry sky at night is beautiful."
放心,be at ease/don't worry,"請放心，一切都會好的。","Qǐng fàngxīn, yīqiè dōu huì hǎo de.","Don't worry, everything will be fine."
紀念,commemorate,"這是紀念我們的特殊時刻的。","Zhè shì jìniàn wǒmen de tèshū shíkè de.","This is to commemorate our special moment."
輕,light/soft,"這個包很輕。","Zhègè bāo hěn qīng.","This bag is very light."
裡面,inside,"裡面有什麼？","Lǐmiàn yǒu shénme?","What's inside?"
文章,article/essay,"我寫了一篇文章關於環境保護。","Wǒ xiěle yī piān wénzhāng guānyú huánjìng bǎohù.","I wrote an article about environmental protection."
理由,reason,"他沒有告訴我拒絕的理由。","Tā méiyǒu gàosu wǒ jùjué de lǐyóu.","He didn't tell me the reason for his refusal."
筆,pencil/pen,"我可以借你的筆嗎？","Wǒ kěyǐ jiè nǐ de bǐ ma?","Can I borrow your pen?"
房間,room,"我的房間很亂。","Wǒ de fángjiān hěn luàn.","My room is very messy."
歡迎,welcome,"歡迎來到我們的城市！","Huānyíng lái dào wǒmen de chéngshì!","Welcome to our city!"
早上,morning,"早上好！","Zǎoshang hǎo!","Good morning!"
普通,ordinary/common,"這是一個普通的日子。","Zhè shì yīgè pǔtōng de rìzi.","This is an ordinary day."
醫院,hospital,"他在醫院工作。","Tā zài yīyuàn gōngzuò.","He works in the hospital."
夢想,dream,"我的夢想是成為一名歌手。","Wǒ de mèngxiǎng shì chéngwéi yī míng gēshǒu.","My dream is to become a singer."
約會,date,"我有一個約會。","Wǒ yǒu yīgè yuēhuì.","I have a date."
日常,daily/everyday,"這是我日常的工作。","Zhè shì wǒ rìcháng de gōngzuò.","This is my daily job."
鞋子,shoe,"我喜歡這雙鞋子。","Wǒ xǐhuān zhè shuāng xiézi.","I like these shoes."
輪到,turn (to do something),"現在輪到你說。","Xiànzài lúndào nǐ shuō.","Now it's your turn to speak."
照片,picture/photo,"這是我最喜歡的照片。","Zhè shì wǒ zuì xǐhuān de zhàopiàn.","This is my favorite picture."
保護,protect,"我們應該保護環境。","Wǒmen yīnggāi bǎohù huánjìng.","We should protect the environment."
消失,disappear,"那個人突然消失了。","Nàgè rén túrán xiāoshī le.","That person suddenly disappeared."
一起,together,"我們一起去公園吧！","Wǒmen yīqǐ qù gōngyuán ba!","Let's go to the park together!"
答案,answer,"你知道這個問題的答案嗎？","Nǐ zhīdào zhège wèntí de dá'àn ma?","Do you know the answer to this question?"
街道,street,"這條街道很繁忙。","Zhè tiáo jiēdào hěn fánmáng.","This street is very busy."
圖書館,library,"我經常去圖書館閱讀。","Wǒ jīngcháng qù túshūguǎn yuèdú.","I often go to the library to read."
清楚,clear,"我不太清楚。","Wǒ bù tài qīngchǔ.","I'm not very sure."
顏色,color,"你最喜歡的顏色是什麼？","Nǐ zuì xǐhuān de yánsè shì shénme?","What's your favorite color?"
理解,understand/comprehend,"我理解你的意思。","Wǒ lǐjiě nǐ de yìsi.","I understand what you mean."
節日,festival/holiday,"春節是中國的傳統節日。","Chūnjié shì Zhōngguó de chuántǒng jiérì.","The Spring Festival is a traditional Chinese holiday."
旅行,travel,"我喜歡旅行。","Wǒ xǐhuān lǚxíng.","I like to travel."
感覺,feel/feeling,"我感覺很好。","Wǒ gǎnjué hěn hǎo.","I feel good."
同意,agree,"我同意你的看法。","Wǒ tóngyì nǐ de kànfǎ.","I agree with your opinion."
空氣,air,"這裡的空氣很新鮮。","Zhèlǐ de kōngqì hěn xīnxiān.","The air here is very fresh."
夏天,summer,"夏天很熱。","Xiàtiān hěn rè.","Summer is hot."
嘗試,try,"我會嘗試做得更好。","Wǒ huì chángshì zuò dé gèng hǎo.","I will try to do better."
